XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
819978.33268915,2613013.05864830,1,2,1,9991.87203779772
819978.33268915,2613013.05864830,1,3,19693,52.0246580794565
819978.33268915,2613013.05864830,1,6,19693,52.0246580794565
825051.58689873,2606351.25806964,2,1,1,9991.87203779772
819967.73820917,2613033.02776067,3,4,2,471.094060155111
819967.73820917,2613033.02776067,3,1,19693,52.0246580794565
819967.73820917,2613033.02776067,3,6,19693,52.0246580794565
820279.72799236,2613310.76174026,4,3,2,471.094060155111
817867.84831000,2615317.29821108,5,6,3,3074.37377090565
819953.94645692,2613059.01380808,6,5,3,3074.37377090565
819953.94645692,2613059.01380808,6,1,19693,52.0246580794565
819953.94645692,2613059.01380808,6,3,19693,52.0246580794565
849246.52127042,2616965.19148639,7,8,4,701.551619208519
849392.99263085,2617629.89654073,8,7,4,701.551619208519
831563.16777507,2617913.21797197,9,10,5,1205.61743266199
831563.16777507,2617913.21797197,9,12,19696,47.5253247133091
830380.16473982,2617709.80280007,10,9,5,1205.61743266199
830380.16473982,2617709.80280007,10,75,19695,33.6849328385492
831733.15528926,2617946.18241812,11,12,6,125.682322272591
831610.15104561,2617920.37540019,12,11,6,125.682322272591
831610.15104561,2617920.37540019,12,9,19696,47.5253247133091
849176.03898425,2618045.55471307,13,14,7,902.975184639961
849176.03898425,2618045.55471307,13,15,8,3596.1661540999
849176.03898425,2618045.55471307,13,30,15,953.861936143604
848394.39959642,2618010.40034369,14,13,7,902.975184639961
852208.23243405,2618216.34371839,15,13,8,3596.1661540999
852208.23243405,2618216.34371839,15,18,9,735.576544805562
852208.23243405,2618216.34371839,15,37,19,769.770439407653
852920.24589721,2618297.64275692,18,15,9,735.576544805562
852920.24589721,2618297.64275692,18,20,10,283.358159192488
852920.24589721,2618297.64275692,18,21,11,265.87832390423
853185.83652485,2618363.78522020,20,18,10,283.358159192488
852843.15060950,2618543.90617559,21,18,11,265.87832390423
848050.53224136,2618470.79075017,23,24,12,298.59720732096
848232.29452764,2618704.31320195,24,23,12,298.59720732096
848232.29452764,2618704.31320195,24,28,14,350.955863497146
848232.29452764,2618704.31320195,24,40,20,343.680822013475
849632.37413855,2618758.64921874,25,26,13,222.072051211435
849632.37413855,2618758.64921874,25,33,17,331.900382616418
849632.37413855,2618758.64921874,25,82,41,778.763944712403
849766.88238072,2618589.10702368,26,25,13,222.072051211435
848527.16138977,2618893.16661731,28,24,14,350.955863497146
848527.16138977,2618893.16661731,28,30,18,416.766590385795
848527.16138977,2618893.16661731,28,70,36,226.710336326107
848922.42592539,2618936.17227440,30,13,15,953.861936143604
848922.42592539,2618936.17227440,30,31,16,608.923293262094
848922.42592539,2618936.17227440,30,28,18,416.766590385795
849475.57027857,2618740.65531898,31,30,16,608.923293262094
849362.39641851,2618947.84333576,33,25,17,331.900382616418
849362.39641851,2618947.84333576,33,45,23,152.247892796668
849362.39641851,2618947.84333576,33,68,34,171.9136103067
852083.89920600,2618968.10745620,37,15,19,769.770439407653
852083.89920600,2618968.10745620,37,42,22,106.123040972253
852083.89920600,2618968.10745620,37,52,27,88.6341189982133
848074.77335398,2619001.82360712,40,24,20,343.680822013475
848074.77335398,2619001.82360712,40,49,25,828.409155432131
848074.77335398,2619001.82360712,40,70,35,434.939342605102
851410.36685869,2618891.59989730,41,42,21,627.881795201854
851991.70376367,2619002.01292005,42,41,21,627.881795201854
851991.70376367,2619002.01292005,42,37,22,106.123040972253
851991.70376367,2619002.01292005,42,52,26,114.089141692028
849227.98464941,2619019.13740986,45,33,23,152.247892796668
849227.98464941,2619019.13740986,45,47,24,140.442191306143
849227.98464941,2619019.13740986,45,78,39,179.871324534797
849088.56081448,2619033.20610556,47,45,24,140.442191306143
847282.50468964,2619052.38559173,49,40,25,828.409155432131
847282.50468964,2619052.38559173,49,73,37,238.958314957203
847282.50468964,2619052.38559173,49,86,44,1234.43090727365
852069.14606904,2619055.10405843,52,42,26,114.089141692028
852069.14606904,2619055.10405843,52,37,27,88.6341189982133
852069.14606904,2619055.10405843,52,89,45,213.226373597951
841723.73524918,2619055.47813654,55,56,28,705.269376704669
841723.73524918,2619055.47813654,55,58,29,1204.16498034283
841723.73524918,2619055.47813654,55,60,31,7.75813525578765
841723.73524918,2619055.47813654,55,64,33,24.249308961781
842214.84728325,2618739.29487518,56,55,28,705.269376704669
842908.16666896,2618926.68246733,58,55,29,1204.16498034283
841657.38410546,2618855.07875206,59,60,30,209.768449194608
841657.38410546,2618855.07875206,59,39393,19697,163.763707367511
