XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
824730.25795781,2509190.32701532,1,2,1,98.6528828919968
824730.25795781,2509190.32701532,1,6,10050,534.175517120645
824824.12468816,2509159.97197887,2,1,1,98.6528828919968
824837.43241165,2509171.23652465,3,4,2,107.90513361833
824734.71471807,2509204.29092357,4,3,2,107.90513361833
824734.71471807,2509204.29092357,4,11,10051,534.766878659278
823783.26370064,2509468.29552374,5,6,3,454.064037094202
823783.26370064,2509468.29552374,5,7,4,0.628728008830652
823783.26370064,2509468.29552374,5,9,5,0.652179895601665
824222.12487010,2509355.08213134,6,5,3,454.064037094202
824222.12487010,2509355.08213134,6,1,10050,534.175517120645
823782.63511914,2509468.30909591,7,5,4,0.628728008830652
823782.61992850,2509468.39990787,9,5,5,0.652179895601665
824225.64576511,2509368.07253317,11,12,6,461.249736294836
824225.64576511,2509368.07253317,11,4,10051,534.766878659278
823780.07602868,2509483.60773323,12,11,6,461.249736294836
823763.04761355,2509585.40662941,13,14,7,798.168272779402
824205.27656406,2509158.07417733,14,13,7,798.168272779402
785528.88493068,2510042.11510175,15,16,8,144.051175561966
785528.88493068,2510042.11510175,15,20,10,492.051045892934
785528.88493068,2510042.11510175,15,28,15,556.119759236597
785634.11091555,2509962.31665033,16,15,8,144.051175561966
785634.11091555,2509962.31665033,16,17,9,435.95022015173
786047.24451842,2510091.70116404,17,16,9,435.95022015173
785998.05764436,2510182.84939916,20,15,10,492.051045892934
784717.82531566,2510306.21828918,21,22,11,21.492778559773
784733.71515726,2510320.69076182,22,21,11,21.492778559773
784733.71515726,2510320.69076182,22,23,12,17.8990916408441
784733.71515726,2510320.69076182,22,28,14,509.641573995831
784723.00097992,2510306.35256509,23,22,12,17.8990916408441
825843.41693862,2510450.46900272,25,26,13,319.646196330001
825843.41693862,2510450.46900272,25,481,241,1627.6598725214
825995.88078445,2510179.01268994,26,25,13,319.646196330001
785195.48112841,2510486.31029700,28,22,14,509.641573995831
785195.48112841,2510486.31029700,28,15,15,556.119759236597
785195.48112841,2510486.31029700,28,32,16,356.316011457285
785195.48112841,2510486.31029700,28,35,18,21.8401708265742
785551.43472303,2510502.37698605,32,28,16,356.316011457285
785551.43472303,2510502.37698605,32,34,17,15.9935038414931
785551.43472303,2510502.37698605,32,39,21,19.6317392602667
785567.41486106,2510503.03070916,34,32,17,15.9935038414931
785567.41486106,2510503.03070916,34,38,19,252.595080650096
785567.41486106,2510503.03070916,34,43,23,19.6238980942696
785183.46736102,2510504.54933356,35,28,18,21.8401708265742
785183.46736102,2510504.54933356,35,39,20,368.569049576011
785183.46736102,2510504.54933356,35,74,37,555.592056450984
785183.46736102,2510504.54933356,35,123,62,479.253419895486
785819.80536547,2510513.17789846,38,34,19,252.595080650096
785551.62268879,2510522.00782544,39,35,20,368.569049576011
785551.62268879,2510522.00782544,39,32,21,19.6317392602667
785551.62268879,2510522.00782544,39,43,22,15.4589204205934
785551.62268879,2510522.00782544,39,63,32,164.628686502141
785567.06820094,2510522.65154511,43,39,22,15.4589204205934
785567.06820094,2510522.65154511,43,34,23,19.6238980942696
785567.06820094,2510522.65154511,43,47,24,242.573015916948
785567.06820094,2510522.65154511,43,70,35,171.562375436721
785809.44552253,2510532.37669495,47,43,24,242.573015916948
823988.16058729,2510535.76939777,49,50,25,215.786283217073
823988.16058729,2510535.76939777,49,53,29,430.076685516661
823988.16058729,2510535.76939777,49,60,31,259.063413640493
823938.89747493,2510386.08864185,50,49,25,215.786283217073
824373.82649798,2510563.27472653,51,52,26,66.8479293579566
824373.82649798,2510563.27472653,51,53,27,46.7029953524208
824373.82649798,2510563.27472653,51,56,28,74.1392284447478
824368.07526380,2510527.45422280,52,51,26,66.8479293579566
824344.78564125,2510594.08744055,53,51,27,46.7029953524208
824344.78564125,2510594.08744055,53,49,29,430.076685516661
824344.78564125,2510594.08744055,53,102,52,275.356197324594
824427.84763318,2510608.45836671,56,51,28,74.1392284447478
823766.77247562,2510670.43791897,59,60,30,13.2066891954728
823779.96229472,2510671.10523568,60,59,30,13.2066891954728
823779.96229472,2510671.10523568,60,49,31,259.063413640493
823779.96229472,2510671.10523568,60,68,34,225.954344383634
785561.53645226,2510686.32701610,63,39,32,164.628686502141
785561.53645226,2510686.32701610,63,76,38,260.603088800707
785561.53645226,2510686.32701610,63,95,48,157.088473624583
785685.82412389,2510688.46545316,65,66,33,79.959622482167
785685.82412389,2510688.46545316,65,70,36,108.428543674261
785685.82412389,2510688.46545316,65,91,46,137.403123967251
785680.92165570,2510608.65626175,66,65,33,79.959622482167
823994.68253855,2510693.30116081,68,60,34,225.954344383634
785577.53113273,2510693.88552231,70,43,35,171.562375436721
785577.53113273,2510693.88552231,70,65,36,108.428543674261
