XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
659969.73096298,2714012.06355467,1,2,1,1693.45804370745
660733.15805102,2715433.16926215,2,1,1,1693.45804370745
660733.15805102,2715433.16926215,2,3,3,27.1202498056118
660733.15805102,2715433.16926215,2,8,4,47.8389596491771
660733.15805102,2715433.16926215,2,230,115,5702.46539424357
660724.83665937,2715458.98132117,3,4,2,1711.43254723287
660724.83665937,2715458.98132117,3,2,3,27.1202498056118
660724.83665937,2715458.98132117,3,9,5,36.1632719741403
660724.83665937,2715458.98132117,3,37,19,1558.6466570588
659964.78016755,2714018.78563670,4,3,2,1711.43254723287
660733.11390800,2715481.00661455,8,2,4,47.8389596491771
660733.11390800,2715481.00661455,8,9,6,16.4673950228387
660733.11390800,2715481.00661455,8,221,112,2388.6695413547
660733.11390800,2715481.00661455,8,231,116,5697.65718724781
660724.66976509,2715495.14420803,9,3,5,36.1632719741403
660724.66976509,2715495.14420803,9,8,6,16.4673950228387
660724.66976509,2715495.14420803,9,40,20,1517.3539584938
660724.66976509,2715495.14420803,9,221,111,2380.30813001553
639870.95960143,2716506.53136642,13,14,7,42.6427727625005
639835.48375114,2716482.86979178,14,13,7,42.6427727625005
640067.86295776,2716567.22762601,15,16,8,133.33829195286
640067.86295776,2716567.22762601,15,19,10,17.2497553791391
640067.86295776,2716567.22762601,15,21,11,15.7555924815548
639938.60859840,2716558.90947957,16,15,8,133.33829195286
639938.60859840,2716558.90947957,16,17,9,37.1485900469428
639938.60859840,2716558.90947957,16,32,16,717.277691318307
639903.39026044,2716570.72838027,17,16,9,37.1485900469428
639903.39026044,2716570.72838027,17,34,17,83.6695374430231
639903.39026044,2716570.72838027,17,45,23,225.5349395792
640083.54270426,2716574.41787011,19,15,10,17.2497553791391
640083.54270426,2716574.41787011,19,21,12,17.5416909805206
640083.54270426,2716574.41787011,19,97,49,271.923219975962
640069.33646339,2716582.91416405,21,15,11,15.7555924815548
640069.33646339,2716582.91416405,21,19,12,17.5416909805206
