XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
674007.61704884,3796657.07356193,1,2,1,14.1886950209185
673993.43004957,3796657.29292017,2,1,1,14.1886950209185
673960.73901135,3796666.27219664,3,4,2,297.556242465784
673819.93168248,3796704.94936422,4,3,2,297.556242465784
673571.90633541,3796789.72586645,5,6,3,243.080282402568
673532.43754284,3797021.58326168,6,5,3,243.080282402568
673532.43754284,3797021.58326168,6,7,4,701.880668983172
673532.43754284,3797021.58326168,6,10,5,1490.21345263143
673725.67075370,3796734.16025057,7,6,4,701.880668983172
674004.08568617,3798121.09279586,10,6,5,1490.21345263143
674004.08568617,3798121.09279586,10,11,6,1698.09204504175
674889.10810490,3799480.89342579,11,10,6,1698.09204504175
674889.10810490,3799480.89342579,11,13,7,1677.22760569491
676502.36765465,3799848.85375915,13,11,7,1677.22760569491
676502.36765465,3799848.85375915,13,15,8,1401.35043863489
677897.87753949,3799721.04447483,15,13,8,1401.35043863489
677897.87753949,3799721.04447483,15,17,9,3082.9660268078
680830.38899887,3799771.40523344,17,15,9,3082.9660268078
680830.38899887,3799771.40523344,17,27,14,1951.93932521601
701485.53829836,3800455.93751775,19,20,10,460.759078371998
701588.14035236,3800853.16504224,20,19,10,460.759078371998
701588.14035236,3800853.16504224,20,22,11,28.4037912331638
701588.14035236,3800853.16504224,20,161,81,8540.38344982723
701616.34857621,3800856.49242318,22,20,11,28.4037912331638
701616.34857621,3800856.49242318,22,23,11850,56.1884510757617
701672.14968089,3800863.07867780,23,24,12,12.3898093163913
701672.14968089,3800863.07867780,23,22,11850,56.1884510757617
701684.45400096,3800864.53163428,24,23,12,12.3898093163913
701684.45400096,3800864.53163428,24,25,13,565.837298613951
701684.45400096,3800864.53163428,24,34,17,2224.17630762343
701684.45400096,3800864.53163428,24,35,18,1137.20995577537
701492.95894707,3800386.75537875,25,24,13,565.837298613951
682091.36885794,3800979.57617889,27,17,14,1951.93932521601
682091.36885794,3800979.57617889,27,109,55,4742.28538235655
738278.62718352,3801217.43539802,29,30,15,138.399190640916
738278.62718352,3801217.43539802,29,38,11851,59.1182960389874
738320.86008592,3801085.63737859,30,29,15,138.399190640916
738320.86008592,3801085.63737859,30,25628,12814,519.335618655687
738383.64598633,3801060.06695316,31,32,16,205.724449552489
738383.64598633,3801060.06695316,31,25625,12813,516.540608566217
738310.90318770,3801252.50144693,32,31,16,205.724449552489
738310.90318770,3801252.50144693,32,39,11852,63.3680063905909
703854.42473951,3801320.06492875,34,24,17,2224.17630762343
702502.34070008,3801411.05601870,35,24,18,1137.20995577537
702502.34070008,3801411.05601870,35,42,11853,49.5521827387065
738198.12779697,3801436.46751907,37,38,19,174.239504320346
738198.12779697,3801436.46751907,37,50,11854,173.322714939804
738258.56091273,3801273.04400979,38,37,19,174.239504320346
738258.56091273,3801273.04400979,38,29,11851,59.1182960389874
738286.53627676,3801310.99724067,39,40,20,148.922298403173
738286.53627676,3801310.99724067,39,32,11852,63.3680063905909
738228.18523706,3801448.01186444,40,39,20,148.922298403173
738228.18523706,3801448.01186444,40,47,11855,198.782795431549
702653.62438382,3801474.08138081,41,42,21,148.550197231623
702513.88872072,3801459.24379758,42,41,21,148.550197231623
702513.88872072,3801459.24379758,42,35,11853,49.5521827387065
706019.67290004,3801801.95264589,43,44,22,244.036971150687
706260.34491643,3801776.64791231,44,43,22,244.036971150687
704656.76672962,3801696.55108847,45,46,23,1198.3512485178
705748.88527605,3801830.43134854,46,45,23,1198.3512485178
738146.09709443,3801629.05367342,47,48,24,422.877217818165
738146.09709443,3801629.05367342,47,40,11855,198.782795431549
737986.91189115,3802020.73586322,48,47,24,422.877217818165
737986.91189115,3802020.73586322,48,53,11856,46.4557836913721
737973.08058203,3802024.37934419,49,50,25,456.193126792525
737973.08058203,3802024.37934419,49,52,11857,48.797194075438
738135.50498191,3801598.08170950,50,49,25,456.193126792525
738135.50498191,3801598.08170950,50,37,11854,173.322714939804
737751.48572777,3802602.43743230,51,52,26,570.279079665509
737751.48572777,3802602.43743230,51,62,11858,399.468402187276
737955.61218802,3802069.94272159,52,51,26,570.279079665509
737955.61218802,3802069.94272159,52,49,11857,48.797194075438
737970.30916718,3802064.12352731,53,54,27,581.090743677126
737970.30916718,3802064.12352731,53,48,11856,46.4557836913721
737762.73478570,3802606.87515424,54,53,27,581.090743677126
737762.73478570,3802606.87515424,54,59,11859,399.489703798871
